set_name,name,price_market,rarity,variant,condition,name_norm,set_norm
Magnificent Mavens,"Hajun, the Winged Mayakashi",0.11,Ultra Rare,1st Edition,Lightly Played,hajun the winged mayakashi,magnificent mavens
Duel Power,"Shurit, Strategist of the Nekroz",0.11,Ultra Rare,Unlimited,Lightly Played,shurit strategist of the nekroz,duel power
Flames of Destruction,Universal Adapter,0.11,Super Rare,Limited,Lightly Played,universal adapter,flames of destruction
Flames of Destruction,Link Bound,0.11,Super Rare,1st Edition,Lightly Played,link bound,flames of destruction
Flames of Destruction,Trickstar Bloom,0.11,Common / Short Print,1st Edition,Moderately Played,trickstar bloom,flames of destruction
25th Anniversary Rarity Collection,Galaxy-Eyes Full Armor Photon Dragon,0.11,Super Rare,1st Edition,Lightly Played,galaxyeyes full armor photon dragon,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fairy Tail - Luna (Secret Rare),0.11,Secret Rare,1st Edition,Lightly Played,fairy tail  luna secret rare,25th anniversary rarity collection
Duel Devastator,LANphorhynchus,0.11,Ultra Rare,1st Edition,Lightly Played,lanphorhynchus,duel devastator
Duel Power,Nine-Tailed Fox,0.11,Ultra Rare,Unlimited,Lightly Played,ninetailed fox,duel power
25th Anniversary Rarity Collection,Inspector Boarder (UR),0.11,Ultra Rare,1st Edition,Lightly Played,inspector boarder ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Baronne de Fleur (UR),0.11,Ultra Rare,1st Edition,Damaged,baronne de fleur ur,25th anniversary rarity collection
Flames of Destruction,World Legacy Awakens,0.11,Rare,1st Edition,Lightly Played,world legacy awakens,flames of destruction
25th Anniversary Rarity Collection,Harpie's Feather Storm,0.1,Super Rare,1st Edition,Damaged,harpies feather storm,25th anniversary rarity collection
25th Anniversary Rarity Collection,Knightmare Unicorn,0.1,Super Rare,1st Edition,Heavily Played,knightmare unicorn,25th anniversary rarity collection
25th Anniversary Rarity Collection,Mekk-Knight Crusadia Avramax (Secret Rare),0.1,Secret Rare,1st Edition,Damaged,mekkknight crusadia avramax secret rare,25th anniversary rarity collection
Magnificent Mavens,Swordsoul Sacred Summit,0.1,Ultra Rare,1st Edition,Heavily Played,swordsoul sacred summit,magnificent mavens
Shadows in Valhalla,Mermail Abyssteus,0.1,Super Rare,1st Edition,Damaged,mermail abyssteus,shadows in valhalla
