set_name,name,price_market,rarity,variant,condition,name_norm,set_norm
25th Anniversary Rarity Collection,"Alpha, the Master of Beasts (Quarter Century Secret Rare)",2.81,Quarter Century Secret Rare,1st Edition,Lightly Played,alpha the master of beasts quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Nadir Servant (Platinum Secret Rare),2.79,Platinum Secret Rare,1st Edition,Near Mint,nadir servant platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Chaos Space (Quarter Century Secret Rare),2.75,Quarter Century Secret Rare,1st Edition,Heavily Played,chaos space quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Artifact Lancea (Platinum Secret Rare),2.75,Platinum Secret Rare,1st Edition,Moderately Played,artifact lancea platinum secret rare,25th anniversary rarity collection
Duel Power,Ash Blossom & Joyous Spring,2.75,Ultra Rare,1st Edition,Heavily Played,ash blossom  joyous spring,duel power
25th Anniversary Rarity Collection,Lava Golem (Platinum Secret Rare),2.69,Platinum Secret Rare,1st Edition,Moderately Played,lava golem platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Dingirsu, the Orcust of the Evening Star (Platinum Secret Rare)",2.65,Platinum Secret Rare,1st Edition,Lightly Played,dingirsu the orcust of the evening star platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Baronne de Fleur (Platinum Secret Rare),2.63,Platinum Secret Rare,1st Edition,Moderately Played,baronne de fleur platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dimensional Barrier (Platinum Secret Rare),2.54,Platinum Secret Rare,1st Edition,Moderately Played,dimensional barrier platinum secret rare,25th anniversary rarity collection
Shadows in Valhalla,Ninja Grandmaster Saizo,2.54,Secret Rare,1st Edition,Near Mint,ninja grandmaster saizo,shadows in valhalla
25th Anniversary Rarity Collection,Magicalized Fusion (Quarter Century Secret Rare),2.52,Quarter Century Secret Rare,1st Edition,Near Mint,magicalized fusion quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Galaxy-Eyes Afterglow Dragon (Quarter Century Secret Rare),2.5,Quarter Century Secret Rare,1st Edition,Moderately Played,galaxyeyes afterglow dragon quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Mudragon of the Swamp (Quarter Century Secret Rare),2.5,Quarter Century Secret Rare,1st Edition,Damaged,mudragon of the swamp quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Prosperity (PCR),2.5,Prismatic Collector's Rare,1st Edition,Moderately Played,pot of prosperity pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Nibiru, the Primal Being (PUR)",2.5,Prismatic Ultimate Rare,1st Edition,Moderately Played,nibiru the primal being pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ash Blossom & Joyous Spring (Secret Rare),2.49,Secret Rare,1st Edition,Damaged,ash blossom  joyous spring secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Spellbook of Judgment (Quarter Century Secret Rare),2.49,Quarter Century Secret Rare,1st Edition,Near Mint,spellbook of judgment quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pre-Preparation of Rites (PCR),2.45,Prismatic Collector's Rare,1st Edition,Moderately Played,prepreparation of rites pcr,25th anniversary rarity collection
Magnificent Mavens,Sky Striker Mobilize - Engage!,2.41,Ultra Rare,1st Edition,Damaged,sky striker mobilize  engage,magnificent mavens
25th Anniversary Rarity Collection,Ghostrick Angel of Mischief (Quarter Century Secret Rare),2.31,Quarter Century Secret Rare,1st Edition,Near Mint,ghostrick angel of mischief quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fallen of Albaz (PCR),2.31,Prismatic Collector's Rare,1st Edition,Lightly Played,fallen of albaz pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Compulsory Evacuation Device (Platinum Secret Rare),2.29,Platinum Secret Rare,1st Edition,Lightly Played,compulsory evacuation device platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dark Ruler No More (PCR),2.25,Prismatic Collector's Rare,1st Edition,Moderately Played,dark ruler no more pcr,25th anniversary rarity collection
Flames of Destruction,Ghost Belle & Haunted Mansion,2.22,Secret Rare,1st Edition,Damaged,ghost belle  haunted mansion,flames of destruction
25th Anniversary Rarity Collection,Magician's Salvation (Platinum Secret Rare),2.17,Platinum Secret Rare,1st Edition,Near Mint,magicians salvation platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fallen of Albaz (Platinum Secret Rare),2.15,Platinum Secret Rare,1st Edition,Moderately Played,fallen of albaz platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ice Barrier (Quarter Century Secret Rare),2.13,Quarter Century Secret Rare,1st Edition,Near Mint,ice barrier quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Selene, Queen of the Master Magicians (Platinum Secret Rare)",2.13,Platinum Secret Rare,1st Edition,Near Mint,selene queen of the master magicians platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,The Winged Dragon of Ra - Sphere Mode (Platinum Secret Rare),2.11,Platinum Secret Rare,1st Edition,Lightly Played,the winged dragon of ra  sphere mode platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Tri-Brigade Revolt (Quarter Century Secret Rare),2.1,Quarter Century Secret Rare,1st Edition,Lightly Played,tribrigade revolt quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Predaplant Dragostapelia (Quarter Century Secret Rare),2.06,Quarter Century Secret Rare,1st Edition,Damaged,predaplant dragostapelia quarter century secret rare,25th anniversary rarity collection
Magnificent Mavens,Lightning Storm,2.0,Ultra Rare,1st Edition,Heavily Played,lightning storm,magnificent mavens
Flames of Destruction,World Legacy Succession,2.0,Ultra Rare,1st Edition,Heavily Played,world legacy succession,flames of destruction
25th Anniversary Rarity Collection,"Nibiru, the Primal Being (PCR)",2.0,Prismatic Collector's Rare,1st Edition,Damaged,nibiru the primal being pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Prosperity (Platinum Secret Rare),2.0,Platinum Secret Rare,1st Edition,Damaged,pot of prosperity platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ancient Fairy Dragon (Platinum Secret Rare),2.0,Platinum Secret Rare,1st Edition,Moderately Played,ancient fairy dragon platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Wynn the Wind Channeler (Quarter Century Secret Rare),2.0,Quarter Century Secret Rare,1st Edition,Near Mint,wynn the wind channeler quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Mekk-Knight Crusadia Avramax (Quarter Century Secret Rare),2.0,Quarter Century Secret Rare,1st Edition,Damaged,mekkknight crusadia avramax quarter century secret rare,25th anniversary rarity collection
Flames of Destruction,Knightmare Goblin,1.99,Ultra Rare,1st Edition,Damaged,knightmare goblin,flames of destruction
25th Anniversary Rarity Collection,Ghost Belle & Haunted Mansion (PUR),1.99,Prismatic Ultimate Rare,1st Edition,Moderately Played,ghost belle  haunted mansion pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lightning Storm (Secret Rare),1.99,Secret Rare,1st Edition,Heavily Played,lightning storm secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Triple Tactics Talent,1.95,Super Rare,1st Edition,Lightly Played,triple tactics talent,25th anniversary rarity collection
25th Anniversary Rarity Collection,Forbidden Droplet (UR),1.95,Ultra Rare,1st Edition,Damaged,forbidden droplet ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Change of Heart (Platinum Secret Rare),1.94,Platinum Secret Rare,1st Edition,Near Mint,change of heart platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Triple Tactics Talent (UR),1.88,Ultra Rare,1st Edition,Lightly Played,triple tactics talent ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Reinforcement of the Army (PUR),1.88,Prismatic Ultimate Rare,1st Edition,Lightly Played,reinforcement of the army pur,25th anniversary rarity collection
Magnificent Mavens,Triple Tactics Talent,1.84,Ultra Rare,1st Edition,Lightly Played,triple tactics talent,magnificent mavens
25th Anniversary Rarity Collection,Dimensional Barrier (Secret Rare),1.8,Secret Rare,1st Edition,Near Mint,dimensional barrier secret rare,25th anniversary rarity collection
Duel Power,The Winged Dragon of Ra - Immortal Phoenix,1.8,Ultra Rare,1st Edition,Moderately Played,the winged dragon of ra  immortal phoenix,duel power
25th Anniversary Rarity Collection,Tour Guide From the Underworld (Platinum Secret Rare),1.79,Platinum Secret Rare,1st Edition,Near Mint,tour guide from the underworld platinum secret rare,25th anniversary rarity collection
Duel Power,Toon Dark Magician Girl,1.75,Ultra Rare,1st Edition,Heavily Played,toon dark magician girl,duel power
25th Anniversary Rarity Collection,Evenly Matched (Secret Rare),1.75,Secret Rare,1st Edition,Damaged,evenly matched secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Reinforcement of the Army (PCR),1.75,Prismatic Collector's Rare,1st Edition,Lightly Played,reinforcement of the army pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fairy Tail - Luna (Quarter Century Secret Rare),1.72,Quarter Century Secret Rare,1st Edition,Near Mint,fairy tail  luna quarter century secret rare,25th anniversary rarity collection
Shadows in Valhalla,Gateway to Chaos,1.71,Secret Rare,1st Edition,Lightly Played,gateway to chaos,shadows in valhalla
25th Anniversary Rarity Collection,Called by the Grave (Secret Rare),1.7,Secret Rare,1st Edition,Heavily Played,called by the grave secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lightning Storm (PUR),1.7,Prismatic Ultimate Rare,1st Edition,Damaged,lightning storm pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Extravagance (PCR),1.66,Prismatic Collector's Rare,1st Edition,Lightly Played,pot of extravagance pcr,25th anniversary rarity collection
Magnificent Mavens,"Incredible Ecclesia, the Virtuous",1.63,Ultra Rare,1st Edition,Near Mint,incredible ecclesia the virtuous,magnificent mavens
25th Anniversary Rarity Collection,Baronne de Fleur (PCR),1.56,Prismatic Collector's Rare,1st Edition,Near Mint,baronne de fleur pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lonefire Blossom (Platinum Secret Rare),1.55,Platinum Secret Rare,1st Edition,Lightly Played,lonefire blossom platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Nadir Servant (PCR),1.55,Prismatic Collector's Rare,1st Edition,Heavily Played,nadir servant pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lava Golem (PCR),1.53,Prismatic Collector's Rare,1st Edition,Lightly Played,lava golem pcr,25th anniversary rarity collection
Duel Power,Aromaseraphy Jasmine,1.5,Ultra Rare,1st Edition,Damaged,aromaseraphy jasmine,duel power
25th Anniversary Rarity Collection,Dimensional Barrier (PCR),1.5,Prismatic Collector's Rare,1st Edition,Moderately Played,dimensional barrier pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Prosperity,1.49,Super Rare,1st Edition,Heavily Played,pot of prosperity,25th anniversary rarity collection
25th Anniversary Rarity Collection,Change of Heart (PUR),1.44,Prismatic Ultimate Rare,1st Edition,Lightly Played,change of heart pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fossil Dig (Platinum Secret Rare),1.4,Platinum Secret Rare,1st Edition,Lightly Played,fossil dig platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lightning Storm,1.39,Super Rare,1st Edition,Damaged,lightning storm,25th anniversary rarity collection
25th Anniversary Rarity Collection,Ash Blossom & Joyous Spring (UR),1.35,Ultra Rare,1st Edition,Damaged,ash blossom  joyous spring ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Elder Entity N'tss (Platinum Secret Rare),1.35,Platinum Secret Rare,1st Edition,Near Mint,elder entity ntss platinum secret rare,25th anniversary rarity collection
Magnificent Mavens,Black Luster Soldier - Envoy of the Beginning,1.29,Ultra Rare,1st Edition,Heavily Played,black luster soldier  envoy of the beginning,magnificent mavens
Duel Power,Magician of Chaos,1.27,Ultra Rare,Unlimited,Moderately Played,magician of chaos,duel power
25th Anniversary Rarity Collection,Pre-Preparation of Rites (Platinum Secret Rare),1.27,Platinum Secret Rare,1st Edition,Moderately Played,prepreparation of rites platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Change of Heart (PCR),1.26,Prismatic Collector's Rare,1st Edition,Near Mint,change of heart pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Fallen of Albaz (Secret Rare),1.26,Secret Rare,1st Edition,Near Mint,fallen of albaz secret rare,25th anniversary rarity collection
Duel Power,Blue-Eyes Chaos MAX Dragon,1.25,Ultra Rare,1st Edition,Damaged,blueeyes chaos max dragon,duel power
25th Anniversary Rarity Collection,The Winged Dragon of Ra - Sphere Mode (PCR),1.25,Prismatic Collector's Rare,1st Edition,Lightly Played,the winged dragon of ra  sphere mode pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Harpie's Feather Storm (Platinum Secret Rare),1.25,Platinum Secret Rare,1st Edition,Heavily Played,harpies feather storm platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Lava Golem (PUR),1.25,Prismatic Ultimate Rare,1st Edition,Heavily Played,lava golem pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dark Ruler No More (PUR),1.23,Prismatic Ultimate Rare,1st Edition,Moderately Played,dark ruler no more pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Extravagance (Platinum Secret Rare),1.23,Platinum Secret Rare,1st Edition,Lightly Played,pot of extravagance platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Vision HERO Faris (Platinum Secret Rare),1.22,Platinum Secret Rare,1st Edition,Lightly Played,vision hero faris platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Artifact Lancea (Secret Rare),1.22,Secret Rare,1st Edition,Near Mint,artifact lancea secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Red-Eyes Flare Metal Dragon (PUR),1.22,Prismatic Ultimate Rare,1st Edition,Lightly Played,redeyes flare metal dragon pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dimension Shifter (PUR),1.21,Prismatic Ultimate Rare,1st Edition,Near Mint,dimension shifter pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dimensional Barrier (PUR),1.21,Prismatic Ultimate Rare,1st Edition,Damaged,dimensional barrier pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Tour Guide From the Underworld (PUR),1.2,Prismatic Ultimate Rare,1st Edition,Lightly Played,tour guide from the underworld pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Baronne de Fleur (PUR),1.2,Prismatic Ultimate Rare,1st Edition,Lightly Played,baronne de fleur pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Compulsory Evacuation Device (PUR),1.17,Prismatic Ultimate Rare,1st Edition,Near Mint,compulsory evacuation device pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Dogmatika Ecclesia, the Virtuous (PUR)",1.15,Prismatic Ultimate Rare,1st Edition,Near Mint,dogmatika ecclesia the virtuous pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Prosperity (UR),1.14,Ultra Rare,1st Edition,Heavily Played,pot of prosperity ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Dogmatika Ecclesia, the Virtuous (Platinum Secret Rare)",1.12,Platinum Secret Rare,1st Edition,Lightly Played,dogmatika ecclesia the virtuous platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Herald of the Arc Light (Secret Rare),1.12,Secret Rare,1st Edition,Moderately Played,herald of the arc light secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Reinforcement of the Army (Secret Rare),1.1,Secret Rare,1st Edition,Lightly Played,reinforcement of the army secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Desires (PUR),1.09,Prismatic Ultimate Rare,1st Edition,Lightly Played,pot of desires pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Blue-Eyes Abyss Dragon (Platinum Secret Rare),1.09,Platinum Secret Rare,1st Edition,Near Mint,blueeyes abyss dragon platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Tour Guide From the Underworld (PCR),1.09,Prismatic Collector's Rare,1st Edition,Lightly Played,tour guide from the underworld pcr,25th anniversary rarity collection
Duel Devastator,"Gameciel, the Sea Turtle Kaiju",1.08,Ultra Rare,1st Edition,Heavily Played,gameciel the sea turtle kaiju,duel devastator
Duel Power,Aromage Jasmine,1.08,Ultra Rare,1st Edition,Heavily Played,aromage jasmine,duel power
25th Anniversary Rarity Collection,Ghost Belle & Haunted Mansion (Secret Rare),1.08,Secret Rare,1st Edition,Moderately Played,ghost belle  haunted mansion secret rare,25th anniversary rarity collection
Shadows in Valhalla,Shaddoll Fusion,1.05,Secret Rare,1st Edition,Heavily Played,shaddoll fusion,shadows in valhalla
Flames of Destruction,F.A. Dawn Dragster,1.04,Rare,Unlimited,Damaged,fa dawn dragster,flames of destruction
25th Anniversary Rarity Collection,Effect Veiler (UR),1.0,Ultra Rare,1st Edition,Heavily Played,effect veiler ur,25th anniversary rarity collection
Magnificent Mavens,Sky Striker Mobilize - Linkage!,1.0,Ultra Rare,1st Edition,Heavily Played,sky striker mobilize  linkage,magnificent mavens
Magnificent Mavens,Black Luster Soldier - Soldier of Chaos,1.0,Ultra Rare,1st Edition,Damaged,black luster soldier  soldier of chaos,magnificent mavens
Magnificent Mavens,Crystal Bond (Secret Pharaoh's Rare),1.0,Secret Pharaoh’s Rare,1st Edition,Lightly Played,crystal bond secret pharaohs rare,magnificent mavens
25th Anniversary Rarity Collection,Knightmare Unicorn (Alternate Art) (PUR),1.0,Prismatic Ultimate Rare,1st Edition,Near Mint,knightmare unicorn alternate art pur,25th anniversary rarity collection
Shadows in Valhalla,Valkyrie Brunhilde,1.0,Secret Rare,1st Edition,Damaged,valkyrie brunhilde,shadows in valhalla
Duel Power,Number 39: Utopia Double,1.0,Ultra Rare,Unlimited,Moderately Played,number 39 utopia double,duel power
Shadows in Valhalla,Mischief of the Time Goddess,1.0,Secret Rare,1st Edition,Damaged,mischief of the time goddess,shadows in valhalla
Duel Devastator,Super Polymerization,1.0,Ultra Rare,1st Edition,Damaged,super polymerization,duel devastator
25th Anniversary Rarity Collection,Ash Blossom & Joyous Spring,1.0,Super Rare,1st Edition,Heavily Played,ash blossom  joyous spring,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Nibiru, the Primal Being (Secret Rare)",1.0,Secret Rare,1st Edition,Damaged,nibiru the primal being secret rare,25th anniversary rarity collection
Duel Power,Quintet Magician,1.0,Ultra Rare,Unlimited,Moderately Played,quintet magician,duel power
Flames of Destruction,Knightmare Corruptor Iblee,1.0,Secret Rare,1st Edition,Heavily Played,knightmare corruptor iblee,flames of destruction
25th Anniversary Rarity Collection,Nadir Servant (Secret Rare),1.0,Secret Rare,1st Edition,Damaged,nadir servant secret rare,25th anniversary rarity collection
Magnificent Mavens,Harpie's Feather Duster,0.99,Ultra Rare,1st Edition,Damaged,harpies feather duster,magnificent mavens
25th Anniversary Rarity Collection,Harpie's Feather Storm (PCR),0.99,Prismatic Collector's Rare,1st Edition,Lightly Played,harpies feather storm pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Compulsory Evacuation Device (PCR),0.99,Prismatic Collector's Rare,1st Edition,Near Mint,compulsory evacuation device pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Mudragon of the Swamp (PCR),0.99,Prismatic Collector's Rare,1st Edition,Lightly Played,mudragon of the swamp pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dimension Shifter (Platinum Secret Rare),0.99,Platinum Secret Rare,1st Edition,Damaged,dimension shifter platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Dimension Shifter (PCR),0.98,Prismatic Collector's Rare,1st Edition,Near Mint,dimension shifter pcr,25th anniversary rarity collection
Flames of Destruction,Vampire Sucker,0.98,Secret Rare,1st Edition,Heavily Played,vampire sucker,flames of destruction
25th Anniversary Rarity Collection,Nadir Servant (PUR),0.98,Prismatic Ultimate Rare,1st Edition,Damaged,nadir servant pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Predaplant Dragostapelia (Platinum Secret Rare),0.97,Platinum Secret Rare,1st Edition,Lightly Played,predaplant dragostapelia platinum secret rare,25th anniversary rarity collection
Magnificent Mavens,Light-Imprisoning Mirror,0.97,Ultra Rare,1st Edition,Lightly Played,lightimprisoning mirror,magnificent mavens
25th Anniversary Rarity Collection,Lonefire Blossom (PUR),0.97,Prismatic Ultimate Rare,1st Edition,Lightly Played,lonefire blossom pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Nibiru, the Primal Being",0.97,Super Rare,1st Edition,Moderately Played,nibiru the primal being,25th anniversary rarity collection
25th Anniversary Rarity Collection,Code Talker Inverted (Quarter Century Secret Rare),0.96,Quarter Century Secret Rare,1st Edition,Near Mint,code talker inverted quarter century secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Small World (Platinum Secret Rare),0.96,Platinum Secret Rare,1st Edition,Lightly Played,small world platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Elder Entity N'tss (PUR),0.95,Prismatic Ultimate Rare,1st Edition,Lightly Played,elder entity ntss pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Predaplant Dragostapelia (PCR),0.94,Prismatic Collector's Rare,1st Edition,Moderately Played,predaplant dragostapelia pcr,25th anniversary rarity collection
Flames of Destruction,Topologic Trisbaena,0.94,Secret Rare,1st Edition,Near Mint,topologic trisbaena,flames of destruction
25th Anniversary Rarity Collection,Masked HERO Dark Law (PUR),0.94,Prismatic Ultimate Rare,1st Edition,Near Mint,masked hero dark law pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Reasoning (Platinum Secret Rare),0.93,Platinum Secret Rare,1st Edition,Near Mint,reasoning platinum secret rare,25th anniversary rarity collection
Duel Devastator,Saryuja Skull Dread,0.92,Ultra Rare,1st Edition,Heavily Played,saryuja skull dread,duel devastator
25th Anniversary Rarity Collection,"Dingirsu, the Orcust of the Evening Star (PUR)",0.92,Prismatic Ultimate Rare,1st Edition,Near Mint,dingirsu the orcust of the evening star pur,25th anniversary rarity collection
Duel Power,Dark Magic Twin Burst,0.91,Ultra Rare,1st Edition,Heavily Played,dark magic twin burst,duel power
25th Anniversary Rarity Collection,Masked HERO Dark Law (Platinum Secret Rare),0.9,Platinum Secret Rare,1st Edition,Moderately Played,masked hero dark law platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Shaddoll Schism (Quarter Century Secret Rare),0.9,Quarter Century Secret Rare,1st Edition,Damaged,shaddoll schism quarter century secret rare,25th anniversary rarity collection
Flames of Destruction,Knightmare Unicorn,0.9,Secret Rare,Unlimited,Moderately Played,knightmare unicorn,flames of destruction
Shadows in Valhalla,Aleister the Invoker,0.9,Secret Rare,1st Edition,Near Mint,aleister the invoker,shadows in valhalla
25th Anniversary Rarity Collection,Ghost Belle & Haunted Mansion (UR),0.88,Ultra Rare,1st Edition,Moderately Played,ghost belle  haunted mansion ur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Downerd Magician (Platinum Secret Rare),0.88,Platinum Secret Rare,1st Edition,Moderately Played,downerd magician platinum secret rare,25th anniversary rarity collection
Magnificent Mavens,Evenly Matched,0.88,Ultra Rare,1st Edition,Damaged,evenly matched,magnificent mavens
Duel Power,Dark Magician,0.85,Ultra Rare,Limited,Heavily Played,dark magician,duel power
Duel Power,Card of Demise,0.85,Ultra Rare,1st Edition,Heavily Played,card of demise,duel power
25th Anniversary Rarity Collection,Lonefire Blossom (PCR),0.85,Prismatic Collector's Rare,1st Edition,Near Mint,lonefire blossom pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Egyptian God Slime (PUR),0.84,Prismatic Ultimate Rare,1st Edition,Lightly Played,egyptian god slime pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Elder Entity N'tss (PCR),0.84,Prismatic Collector's Rare,1st Edition,Near Mint,elder entity ntss pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Knightmare Unicorn (Alternate Art) (Platinum Secret Rare),0.84,Platinum Secret Rare,1st Edition,Lightly Played,knightmare unicorn alternate art platinum secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Eldlich the Golden Lord (Alternate Art) (Platinum Secret Rare),0.84,Platinum Secret Rare,1st Edition,Near Mint,eldlich the golden lord alternate art platinum secret rare,25th anniversary rarity collection
Duel Power,Nekroz of Brionac,0.83,Ultra Rare,Unlimited,Moderately Played,nekroz of brionac,duel power
25th Anniversary Rarity Collection,"Selene, Queen of the Master Magicians (PCR)",0.82,Prismatic Collector's Rare,1st Edition,Near Mint,selene queen of the master magicians pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Danger!? Jackalope? (Platinum Secret Rare),0.82,Platinum Secret Rare,1st Edition,Lightly Played,danger jackalope platinum secret rare,25th anniversary rarity collection
Magnificent Mavens,Swordsoul Emergence,0.82,Ultra Rare,1st Edition,Near Mint,swordsoul emergence,magnificent mavens
25th Anniversary Rarity Collection,"Dingirsu, the Orcust of the Evening Star (PCR)",0.82,Prismatic Collector's Rare,1st Edition,Lightly Played,dingirsu the orcust of the evening star pcr,25th anniversary rarity collection
Shadows in Valhalla,Magical Meltdown,0.82,Super Rare,1st Edition,Heavily Played,magical meltdown,shadows in valhalla
Duel Power,Cyber Dragon Nachster,0.81,Ultra Rare,Unlimited,Near Mint,cyber dragon nachster,duel power
25th Anniversary Rarity Collection,Masked HERO Dark Law (PCR),0.81,Prismatic Collector's Rare,1st Edition,Near Mint,masked hero dark law pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,"Dogmatika Ecclesia, the Virtuous (PCR)",0.81,Prismatic Collector's Rare,1st Edition,Near Mint,dogmatika ecclesia the virtuous pcr,25th anniversary rarity collection
25th Anniversary Rarity Collection,Nadir Servant,0.8,Super Rare,1st Edition,Damaged,nadir servant,25th anniversary rarity collection
25th Anniversary Rarity Collection,Summon Limit (Platinum Secret Rare),0.8,Platinum Secret Rare,1st Edition,Near Mint,summon limit platinum secret rare,25th anniversary rarity collection
Magnificent Mavens,Swordsoul Supreme Sovereign - Chengying,0.8,Ultra Rare,1st Edition,Heavily Played,swordsoul supreme sovereign  chengying,magnificent mavens
25th Anniversary Rarity Collection,Dogmatika Punishment (PUR),0.8,Prismatic Ultimate Rare,1st Edition,Near Mint,dogmatika punishment pur,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Desires (Secret Rare),0.8,Secret Rare,1st Edition,Near Mint,pot of desires secret rare,25th anniversary rarity collection
25th Anniversary Rarity Collection,Predaplant Dragostapelia (PUR),0.79,Prismatic Ultimate Rare,1st Edition,Lightly Played,predaplant dragostapelia pur,25th anniversary rarity collection
Duel Devastator,Ash Blossom & Joyous Spring,0.79,Ultra Rare,1st Edition,Heavily Played,ash blossom  joyous spring,duel devastator
25th Anniversary Rarity Collection,Danger!? Jackalope? (PUR),0.78,Prismatic Ultimate Rare,1st Edition,Near Mint,danger jackalope pur,25th anniversary rarity collection
Magnificent Mavens,"Apollousa, Bow of the Goddess",0.77,Ultra Rare,1st Edition,Near Mint,apollousa bow of the goddess,magnificent mavens
25th Anniversary Rarity Collection,Evenly Matched,0.75,Super Rare,1st Edition,Heavily Played,evenly matched,25th anniversary rarity collection
25th Anniversary Rarity Collection,Pot of Extravagance (PUR),0.75,Prismatic Ultimate Rare,1st Edition,Moderately Played,pot of extravagance pur,25th anniversary rarity collection
